Title,Lemmatized_Title,Label
Charger not included: why aren’t phone chargers included with phones anymore? - whatsthebest.co.uk,charger included phone charger included phone anymore whatsthebest co uk,Neutral
Xiaomi to join Apple and Samsung in removing charging bricks from its packaging with release of Xiaomi 14T and Xiaomi 14T Pro - Notebookcheck.net,xiaomi join apple samsung removing charging brick packaging release xiaomi xiaomi pro notebookcheck net,Pro
"How much Apple saved by removing charger, Earpods from iPhone 12 box - HT Tech",much apple saved removing charger earpods iphone box ht tech,Pro
"Apple, phone chargers, and the art of greenwashing - Palatinate",apple phone charger art greenwashing palatinate,Against
EU Commission proposes removing chargers from all smartphone boxes - GSMArena.com,eu commission proposes removing charger smartphone box gsmarena com,Neutral
Explained: Why removing the charger from smartphone boxes is much more insidious than people think - Firstpost,explained removing charger smartphone box much insidious people think firstpost,Neutral
Apple Lightning Port Removal Deadline Is 28 December 2024 - Silicon UK,apple lightning port removal deadline december silicon uk,Neutral
Samsung Reported to Remove Chargers and USB Cables From Smartphone Sales - HYPEBEAST,samsung reported remove charger usb cable smartphone sale hypebeast,Neutral
Oppo will stop bundling chargers from future phones - TechRadar,oppo stop bundling charger future phone techradar,Against
Why Are Phone Makers Removing Chargers? - Lifewire,phone maker removing charger lifewire,Neutral
Samsung will gradually remove chargers and earbuds from future phones - The Verge,samsung gradually remove charger earbuds future phone verge,Neutral
No Charger in the Box? Everything You Need to Know About iPhone 15 Charging - PCMag,charger box everything need know iphone charging pcmag,Against
Android phones following Apple's lead and ditching in-the-box chargers - Metro.co.uk,android phone following apple lead ditching box charger metro co uk,Neutral
Did you know? Charging without a case might improve your phone’s battery - PhoneArena,know charging without case might improve phone battery phonearena,Pro
"Samsung Should Remove Phone Chargers From The Box, Here's Why - Screen Rant",samsung remove phone charger box screen rant,Against
Samsung and Apple are considering no longer bundling a charger in smartphone boxes - XDA Developers,samsung apple considering longer bundling charger smartphone box xda developer,Against
5 easy ways to remove water from smartphones’ charging port - Digit,easy way remove water smartphones charging port digit,Pro
Why Samsung’s Galaxy S21 doesn't come with a charger - TechRadar,samsung galaxy come charger techradar,Neutral
Doctors remove mobile phone charger from man's bladder - Metro.co.uk,doctor remove mobile phone charger man bladder metro co uk,Neutral
Removing Chargers From iPhone Boxes May Have Saved Apple Billions - Screen Rant,removing charger iphone box may saved apple billion screen rant,Pro
"Xiaomi will offer Mi 11 without charger, but it has a great solution on hand - Android Authority",xiaomi offer mi without charger great solution hand android authority,Pro
"""Curious"" teenager has smartphone cable removed from penis after it became knotted in his bladder - The Mirror",curious teenager smartphone cable removed penis became knotted bladder mirror,Pro
Tesla reduces price of home chargers after removing the one included with new vehicles - Electrek.co,tesla reduces price home charger removing one included new vehicle electrek co,Neutral
The iPhone 12 Ships Without a Charger. Will It Curb E-Waste? - WIRED,iphone ship without charger curb e waste wired,Neutral
Samsung starts removing free chargers from affordable phones - GadgetMatch,samsung start removing free charger affordable phone gadgetmatch,Pro
iPhones No Longer Come With a Charger or Headphones. Here’s What to Get If You Need Them. - The New York Times,iphones longer come charger headphone get need new york time,Against
"After Apple and Samsung, these smartphone brands may remove in-box chargers | Mint - Mint",apple samsung smartphone brand may remove box charger mint mint,Neutral
Samsung deleted a Facebook post mocking Apple for removing chargers - BGR,samsung deleted facebook post mocking apple removing charger bgr,Against
Tesla sets disappointing EV precedent by removing included chargers from new vehicles - MobileSyrup,tesla set disappointing ev precedent removing included charger new vehicle mobilesyrup,Against
OnePlus phones in some regions aren't getting in-box chargers (Update: Common Charger Directive) - Android Authority,oneplus phone region getting box charger update common charger directive android authority,Pro
What Apple's iPhone Charger Lawsuit Defeat Means For Everyone Else - Screen Rant,apple iphone charger lawsuit defeat mean everyone else screen rant,Against
Tesla orders after April 17 will not include Mobile Charging Connector - TESLARATI,tesla order april include mobile charging connector teslarati,Neutral
Rumors of Samsung unbundling chargers reinforced by removal of Apple-mocking Facebook post - TechSpot,rumor samsung unbundling charger reinforced removal apple mocking facebook post techspot,Neutral
The in-box charger is dying as more brands pick up Apple’s trend - The Indian Express,box charger dying brand pick apple trend indian express,Neutral
Samsung’s deleting ads that mocked Apple for not including a charger in the box - The Verge,samsung deleting ad mocked apple including charger box verge,Against
Report claims Apple saved $6.5 billion by removing charger and EarPods from iPhone boxes - PhoneArena,report claim apple saved billion removing charger earpods iphone box phonearena,Pro
"Tesla Pulls An Apple, Drops The Charging Port Before Cupertino Could Remove It From The iPhone - Benzinga",tesla pull apple drop charging port cupertino could remove iphone benzinga,Neutral
Samsung makes fun of Apple for removing charger from iPhone - The Times of India,samsung make fun apple removing charger iphone time india,Pro
Should you leave your smartphone charger plugged in all the time? - ZDNet,leave smartphone charger plugged time zdnet,Against
"Tesla confirms the cutoff date for discontinuing the Mobile Connector charging bundle for new orders - Tesla Oracle - Elon Musk, Tesla, SpaceX News",tesla confirms cutoff date discontinuing mobile connector charging bundle new order tesla oracle elon musk tesla spacex news,Neutral
OnePlus and Oppo tipped to remove chargers from retail boxes in India - India Today,oneplus oppo tipped remove charger retail box india india today,Neutral
Every Smartphone In The Future Might Come Without A Charger In The Box By 2024 - MensXP.com,every smartphone future might come without charger box mensxp com,Neutral
Elon Musk Responds To Outrage Caused By Tesla Removing The Mobile Connector - Torque News,elon musk responds outrage caused tesla removing mobile connector torque news,Against
A man put a phone charger up his penis and ended up in the hospital - CNN,man put phone charger penis ended hospital cnn,Neutral
Bizarre! Mobile charger cord removed from man's urinary bladder - Medical Dialogues,bizarre mobile charger cord removed man urinary bladder medical dialogue,Against
Here’s why the Galaxy S21 series doesn’t get a charger and earphones - SamMobile - Samsung news,galaxy series get charger earphone sammobile samsung news,Neutral
"Drunk man inserts mobile charger cables in urinary tract, doctors remove them from his bladder - Hindustan Times",drunk man insert mobile charger cable urinary tract doctor remove bladder hindustan time,Against
How to fix Wireless PowerShare issues on Samsung phones - Sammy Fans,fix wireless powershare issue samsung phone sammy fan,Neutral
"Dear smartphone brands, could you charge less for charger-less phones? - TechPP",dear smartphone brand could charge less charger less phone techpp,Pro
